Loading: data\1\raw\de5399a4-c1b3-11f0-b75b-f31d4a72bd86.srt
Parsed 798 blocks. Running state machine with 'gemma4:12b'...
Live progress also in: sm_progress.log

  [  0%] SRT    1 | SCANNING -> NO
  [  1%] SRT   16 | SCANNING -> YES
        *** AD END   ~SRT block 17
  [  2%] SRT   20 | SCANNING -> NO
  [  4%] SRT   35 | SCANNING -> NO
  [  6%] SRT   50 | SCANNING -> NO
  [  8%] SRT   65 | SCANNING -> NO
  [  9%] SRT   80 | SCANNING -> NO
  [ 11%] SRT   95 | SCANNING -> NO
  [ 13%] SRT  110 | SCANNING -> NO
  [ 15%] SRT  125 | SCANNING -> NO
  [ 17%] SRT  140 | SCANNING -> NO
  [ 19%] SRT  155 | SCANNING -> NO
  [ 21%] SRT  170 | SCANNING -> NO
  [ 23%] SRT  185 | SCANNING -> NO
  [ 24%] SRT  200 | SCANNING -> NO
  [ 26%] SRT  215 | SCANNING -> NO
  [ 28%] SRT  230 | SCANNING -> NO
  [ 30%] SRT  245 | SCANNING -> YES
  [ 28%] SRT  230 | IN_AD ( 1 blks) -> ended=YES (false positive)
  [ 29%] SRT  233 | SCANNING -> NO
  [ 30%] SRT  248 | SCANNING -> YES
  [ 29%] SRT  233 | IN_AD ( 1 blks) -> ended=YES (false positive)
  [ 29%] SRT  236 | SCANNING -> NO
  [ 31%] SRT  251 | SCANNING -> YES
  [ 29%] SRT  236 | IN_AD ( 1 blks) -> ended=YES (false positive)
  [ 29%] SRT  239 | SCANNING -> NO
  [ 31%] SRT  254 | SCANNING -> YES
  [ 29%] SRT  239 | IN_AD ( 1 blks) -> ended=YES (false positive)
  [ 30%] SRT  242 | SCANNING -> NO
  [ 32%] SRT  257 | SCANNING -> YES
